x,y,ap1,ap2,ap3
4,0,-74.4762,-127,-80
4,2,-69.7143,-127,-80
4,4,-73.4286,-79,-80
4,6,-81.6667,-79,-80
4,7,-68.4286,-79,-88
2,0,-74.1429,-83,-127
2,2,-74.2857,-83,-127
2,4,-67,-85,-127
2,6,-71.1429,-77,-82
0,6,-73.9524,-79,-82
0,4,-63,-79,-82
0,2,-67.5714,-79,-127
0,0,-65.0476,-79,-127
