"id_pos","x","y","distancia","correct_x","correct_y","ap1","ap2","ap3","tempo"
"13","18","0","25.7381","36","2","-61","-71","-62","2491"
"13","18","3","25.7381","36","2","-61","-71","-62","2491"
"13","21","0","24.1699","36","2","-61","-71","-62","2491"
"13","21","3","24.8395","36","2","-61","-71","-62","2491"
"13","24","0","26.4764","36","2","-61","-71","-62","2491"
"13","24","3","29.9418","36","2","-61","-71","-62","2491"
"13","27","0","27.253","36","2","-61","-71","-62","2491"
"13","27","3","29.671","36","2","-61","-71","-62","2491"
"13","30","0","37.8647","36","2","-61","-71","-62","2491"
"13","30","3","24.5155","36","2","-61","-71","-62","2491"
"13","33","0","29.0681","36","2","-61","-71","-62","2491"
"13","33","3","24.6449","36","2","-61","-71","-62","2491"
"13","36","0","29.2746","36","2","-61","-71","-62","2491"
"13","36","3","25.3685","36","2","-61","-71","-62","2491"
"14","0","0","24.128","36","2","-51","-71","-62","2499"
"14","0","3","26.096","36","2","-51","-71","-62","2499"
"14","3","0","23.9732","36","2","-51","-71","-62","2499"
"14","3","3","25.8299","36","2","-51","-71","-62","2499"
"14","6","0","20.2485","36","2","-51","-71","-62","2499"
"14","6","3","23.0486","36","2","-51","-71","-62","2499"
"14","9","0","23.1027","36","2","-51","-71","-62","2499"
"14","9","3","19.0048","36","2","-51","-71","-62","2499"
"14","12","0","25.8717","36","2","-51","-71","-62","2499"
"14","12","3","24.1691","36","2","-51","-71","-62","2499"
"14","15","0","25.4859","36","2","-51","-71","-62","2499"
"14","15","3","25.0688","36","2","-51","-71","-62","2499"
"14","18","0","24.1931","36","2","-51","-71","-62","2499"
"14","18","3","24.1931","36","2","-51","-71","-62","2499"
"14","21","0","25.9925","36","2","-51","-71","-62","2499"
"14","21","3","25.2389","36","2","-51","-71","-62","2499"
"14","24","0","24.5153","36","2","-51","-71","-62","2499"
"14","24","3","25.5481","36","2","-51","-71","-62","2499"
"14","27","0","24.5892","36","2","-51","-71","-62","2499"
"14","27","3","25.4181","36","2","-51","-71","-62","2499"
"14","30","0","30.9288","36","2","-51","-71","-62","2499"
"14","30","3","26.4406","36","2","-51","-71","-62","2499"
"14","33","0","25.151","36","2","-51","-71","-62","2499"
"14","33","3","25.6299","36","2","-51","-71","-62","2499"
"14","36","0","25.2389","36","2","-51","-71","-62","2499"
"14","36","3","24.7605","36","2","-51","-71","-62","2499"
"15","0","0","35.4303","31","0","-48","-73","-75","2559"
"15","0","3","37.1349","31","0","-48","-73","-75","2559"
"15","3","0","36.5845","31","0","-48","-73","-75","2559"
"15","3","3","36.356","31","0","-48","-73","-75","2559"
